name,address,reviews,displayName,beds,baths,unit,rent,discount,sqft,availability
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Chastain,1,1,8012,"$1,449",,842,availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Chastain,1,1,6039,"$1,463",,842,availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Chastain,1,1,7027,"$1,611",,842,availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Brookhaven,1,1,5037,"$1,436",,675,availibility Oct. 30
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Dunwoody,2,1,6010,"$1,669",,"1,024",availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Dunwoody,2,1,5010,"$1,669",,"1,024",availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Dunwoody,2,1,3027,"$1,645",,"1,024",availibility Nov. 29
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Morningside,2,2,1027,"$1,842",,"1,204",availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Morningside,2,2,4034,"$1,889",,"1,204",availibility Oct. 17
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Morningside,2,2,1024,"$1,944",,"1,204",availibility Nov. 6
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Peachtree,3,2,9003,"$2,299",,"1,489",availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Chastain,1,1,8012,"$1,449",,842,availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Chastain,1,1,6039,"$1,463",,842,availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Chastain,1,1,7027,"$1,611",,842,availibility Now
1000 Spalding,"1000 Spalding Dr, Atlanta, GA 30350 Atlanta",4.1 (37 reviews) Verified Listing,Brookhaven,1,1,5037,"$1,436",,675,availibility Oct. 30
